state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,Predicted total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
MO,55,510,362-1146,no,no,0,189,100,100,32.13,118.5,99,10.07,248.1,87,11.16,17.1,6,4.62,0,FALSE
ID,82,408,352-7413,no,no,0,101,93,93,17.17,155.6,104,13.23,304.4,93,13.7,13.3,2,3.59,0,FALSE
IA,152,415,387-6716,no,no,0,206.3,98,98,35.07,292.8,82,24.89,43.7,121,1.97,10.6,4,2.86,1,FALSE
TN,108,408,352-1127,no,yes,15,165.1,85,85,28.07,267,93,22.7,250.7,114,11.28,10.9,4,2.94,1,FALSE
OH,98,408,368-1288,no,no,0,165,129,129,28.05,202.6,113,17.22,172.3,94,7.75,12.5,7,3.38,1,TRUE
IL,130,415,403-5279,no,no,0,155.9,95,95,26.5,256.1,97,21.77,262.9,103,11.83,11.7,3,3.16,3,FALSE
FL,136,408,397-9333,yes,no,0,199.2,122,122,33.86,214.7,114,18.25,150.9,105,6.79,11.8,7,3.19,1,FALSE
MA,47,415,411-7353,no,no,0,155.3,116,116,26.4,188.2,85,16,247,73,11.12,12.3,4,3.32,3,FALSE
OK,189,415,383-2537,no,no,0,208.3,106,106,35.41,236.7,123,20.12,179.1,120,8.06,11.3,5,3.05,3,FALSE
KY,107,415,330-4419,no,no,0,157.1,79,79,26.71,162.6,124,13.82,150,138,6.75,12.1,6,3.27,1,FALSE
MI,91,415,390-7930,no,no,0,154.4,165,165,26.25,168.3,121,14.31,239.9,81,10.8,11.7,4,3.16,5,TRUE
NE,159,415,362-5111,no,no,0,189.1,105,105,32.15,246.1,147,20.92,242,106,10.89,10.4,5,2.81,1,TRUE
VA,11,408,358-6796,no,yes,24,131.5,98,99,22.36,230.2,111,19.57,283.7,87,12.77,10,3,2.7,2,FALSE
NY,167,415,409-7494,no,no,0,166.4,85,85,28.29,243.2,135,20.67,229.2,95,10.31,9.9,5,2.67,1,FALSE
MT,111,408,400-1636,no,no,0,142.3,75,75,24.19,122.8,106,10.44,229.5,94,10.33,12.8,9,3.46,2,FALSE
VT,99,408,389-2747,no,yes,19,87.7,103,103,14.91,223,86,18.96,182.3,112,8.2,7.3,4,1.97,2,FALSE
KS,159,415,415-2176,no,yes,19,184.1,78,78,31.3,194.5,71,16.53,225.6,101,10.15,16.9,3,4.56,0,FALSE
VA,114,415,377-8067,yes,yes,31,174.5,104,104,29.67,224.2,92,19.06,116.3,91,5.23,12.3,10,3.32,2,FALSE
AL,71,415,362-7835,no,no,0,103.3,103,103,17.56,138.5,79,11.77,164.8,98,7.42,9,2,2.43,2,FALSE
PA,122,415,361-5225,no,no,0,35.1,62,62,5.97,180.8,89,15.37,251.6,58,11.32,12.7,2,3.43,1,FALSE
AL,100,408,333-3447,no,yes,25,246.6,94,94,41.92,141.4,112,12.02,189.8,109,8.54,13,5,3.51,1,FALSE
WV,83,415,341-3044,no,yes,37,78.5,109,109,13.35,210.5,101,17.89,179.7,102,8.09,11.8,4,3.19,1,FALSE
NV,64,408,350-7306,no,no,0,148.1,73,73,25.18,164.9,101,14.02,216,125,9.72,12.3,2,3.32,5,TRUE
TN,105,408,353-8849,no,no,0,206.2,84,84,35.05,256.4,138,21.79,117.1,91,5.27,9,3,2.43,1,FALSE
ID,144,415,402-3476,no,yes,33,251.6,87,87,42.77,197.6,118,16.8,209.2,97,9.41,12.2,3,3.29,2,FALSE
WY,106,415,338-6018,yes,yes,26,270.3,111,111,45.95,215.2,90,18.29,254,133,11.43,14.4,7,3.89,1,TRUE
TX,19,510,409-3520,no,yes,34,156.6,97,97,26.62,224.2,97,19.06,260.9,135,11.74,11.3,1,3.05,1,FALSE
MA,46,408,357-1085,no,no,0,139.4,81,82,23.7,223.7,113,19.01,173.1,77,7.79,13.6,6,3.67,1,FALSE
IL,127,510,353-3285,no,no,0,220.2,108,108,37.43,188.4,124,16.01,172.7,113,7.77,11.7,3,3.16,2,FALSE
LA,9,415,409-9885,no,yes,39,214.1,108,108,36.4,169.2,115,14.38,189.7,117,8.54,10.1,3,2.73,1,FALSE
CO,157,415,388-7701,no,no,0,196,74,74,33.32,213.4,96,18.14,196.8,81,8.86,7.9,6,2.13,1,FALSE
UT,105,415,385-8184,no,no,0,106.4,71,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,6,TRUE
MI,105,415,345-2863,no,yes,29,179.4,113,113,30.5,275.4,100,23.41,246.1,105,11.07,10,5,2.7,0,FALSE
NH,155,408,353-6300,no,no,0,216.7,30,30,36.84,144.3,125,12.27,135.3,106,6.09,10.8,1,2.92,2,FALSE
ID,31,415,389-5649,no,no,0,177.3,129,129,30.14,152.8,105,12.99,162.9,92,7.33,5.1,2,1.38,0,FALSE
WA,161,415,378-8137,no,no,0,151.6,117,117,25.77,219.4,87,18.65,224.7,68,10.11,4,5,1.08,1,FALSE
MN,95,408,340-4627,no,yes,32,262.2,123,123,44.57,165.2,82,14.04,194.3,57,8.74,10.6,5,2.86,0,FALSE
NY,122,415,352-6833,no,no,0,173.6,110,110,29.51,91.7,84,7.79,211.7,103,9.53,9.7,7,2.62,3,FALSE
MD,37,415,420-2000,yes,no,0,106.6,76,76,18.12,147.4,89,12.53,235.8,113,10.61,9.6,8,2.59,2,FALSE
GA,132,415,368-5437,no,no,0,193.3,106,106,32.86,128.3,94,10.91,162.1,119,7.29,11.6,4,3.13,5,TRUE
HI,119,408,418-8170,no,yes,24,217.2,94,94,36.92,138.7,52,11.79,139.3,85,6.27,11.3,4,3.05,0,FALSE
AL,16,408,403-9417,no,no,0,209.5,89,89,35.62,172.8,85,14.69,94.1,102,4.23,8.8,4,2.38,1,FALSE
CT,99,408,330-6165,no,no,0,95.4,105,105,16.22,207.2,101,17.61,136,117,6.12,5.6,5,1.51,1,FALSE
